id,task_id,start_time,end_time,away_time,user_id,date,task_sequence,task_data
113,21,2021-08-01 16:51:37.541000,2021-08-01 16:53:34.737000,0,22,2021-08-01 16:53:34.389708,0,"[27.142191162109373, 54.91088134765624]"
114,13,2021-08-01 16:54:36.102000,2021-08-01 16:58:13.703000,0,22,2021-08-01 16:58:13.420909,1,"[""0"", ""1"", ""3""]"
115,9,2021-08-01 17:00:47.916000,2021-08-01 17:04:23.504000,0,22,2021-08-01 17:04:23.211777,2,"{""fastest"": [""867.861083984375""], ""slowest"": [""692.8334350585938""]}"
116,5,2021-08-01 17:05:32.642000,2021-08-01 17:09:59.961000,0,22,2021-08-01 17:09:59.668092,3,"[""101.83110046386719"", ""286.7087707519531"", ""383.6937561035156"", ""476.8902893066406"", ""551.9021606445312"", ""584.4830322265625"", ""770.118408203125"", ""917.8689575195312""]"
118,1,2021-08-01 17:16:20.294000,2021-08-01 17:18:29.086000,0,22,2021-08-01 17:18:28.795914,5,"[""177.6006317138672"", ""277.6164245605469"", ""465.5248718261719"", ""574.6329956054688"", ""696.6219482421875"", ""109.40805053710938""]"
119,24,2021-08-07 17:18:48.787000,2021-08-07 17:19:35.052000,0,23,2021-08-07 17:19:35.216758,0,null
120,12,2021-08-07 17:21:05.538000,2021-08-07 17:21:33.524000,0,23,2021-08-07 17:21:33.759122,1,"[""2-5"", ""2-0""]"
121,8,2021-08-07 17:22:53.098000,2021-08-07 17:24:34.404000,0,23,2021-08-07 17:24:34.571934,2,"[""0-7"", ""1-2"", ""1-7"", ""2-4""]"
122,4,2021-08-07 17:26:22.509000,2021-08-07 17:28:17.366000,0,23,2021-08-07 17:28:17.612947,3,"[""0-1"", ""0-4"", ""0-6"", ""1-3"", ""1-5"", ""2-1""]"
124,16,2021-08-07 17:31:10.280000,2021-08-07 17:31:58.607000,0,23,2021-08-07 17:31:58.801366,5,"[""0"", ""2"", ""4""]"
